      3200.0000     0.35393E+06     0.12089E+05             7.0
      3201.0000     0.35371E+06     0.12089E+05             7.0
      3202.0000     0.35382E+06     0.12100E+05             7.0
      3203.0000     0.35392E+06     0.12112E+05             7.0
      3204.0000     0.35435E+06     0.12134E+05             7.0
      3205.0000     0.35478E+06     0.12156E+05             7.0
      3206.0000     0.35489E+06     0.12167E+05             7.0
      3207.0000     0.35532E+06     0.12190E+05             7.0
      3208.0000     0.35674E+06     0.12246E+05             7.0
      3209.0000     0.35816E+06     0.12303E+05             7.0
      3210.0000     0.35827E+06     0.12314E+05             7.0
      3211.0000     0.35871E+06     0.12337E+05             7.0
      3212.0000     0.35848E+06     0.12337E+05             7.0
      3213.0000     0.35826E+06     0.12337E+05             7.0
      3214.0000     0.35936E+06     0.12382E+05             7.0
      3215.0000     0.36013E+06     0.12417E+05             7.0
      3216.0000     0.35991E+06     0.12417E+05             7.0
      3217.0000     0.35935E+06     0.12405E+05             7.0
      3218.0000     0.35814E+06     0.12371E+05             7.0
      3219.0000     0.35627E+06     0.12314E+05             7.0
      3220.0000     0.35539E+06     0.12291E+05             7.0
      3221.0000     0.35484E+06     0.12280E+05             7.0
      3222.0000     0.35495E+06     0.12291E+05             7.0
      3223.0000     0.35571E+06     0.12325E+05             7.0
      3224.0000     0.35713E+06     0.12382E+05             7.0
      3225.0000     0.35922E+06     0.12462E+05             7.0
      3226.0000     0.36099E+06     0.12531E+05             7.0
      3227.0000     0.36143E+06     0.12555E+05             7.0
      3228.0000     0.36287E+06     0.12612E+05             7.0
      3229.0000     0.36298E+06     0.12624E+05             7.0
      3230.0000     0.36376E+06     0.12659E+05             7.0
      3231.0000     0.36354E+06     0.12659E+05             7.0
      3232.0000     0.36331E+06     0.12659E+05             7.0
      3233.0000     0.36142E+06     0.12601E+05             7.0
      3234.0000     0.35920E+06     0.12531E+05             7.0
      3235.0000     0.35667E+06     0.12451E+05             7.0
      3236.0000     0.35416E+06     0.12371E+05             7.0
      3237.0000     0.35135E+06     0.12280E+05             7.0
      3238.0000     0.34823E+06     0.12179E+05             7.0
      3239.0000     0.34546E+06     0.12089E+05             7.0
