w f
50.0 2.11797287328
50.2502502503 2.06836178467
50.5005005005 2.27016212273
50.7507507508 2.06708492924
51.001001001 2.14949506372
51.2512512513 2.27704214735
51.5015015015 2.11808189168
51.7517517518 1.99514105563
52.002002002 2.16544108006
52.2522522523 2.22345787629
52.5025025025 2.32596322301
52.7527527528 2.15188508919
53.003003003 2.25545839613
53.2532532533 2.14368969461
53.5035035035 2.21247162091
53.7537537538 1.93522240166
54.004004004 2.26380522867
54.2542542543 2.3207335635
54.5045045045 2.24650438691
54.7547547548 2.14662027533
55.005005005 2.2195474462
55.2552552553 2.12882516136
55.5055055055 2.279078896
55.7557557558 2.24731723487
56.006006006 2.24787312102
56.2562562563 2.26374259958
56.5065065065 2.14632073321
56.7567567568 2.18088527194
57.007007007 2.27828708104
57.2572572573 2.34375843092
57.5075075075 2.47033619938
57.7577577578 2.35900254576
58.008008008 2.2286627214
58.2582582583 2.31265762223
58.5085085085 2.24192091621
58.7587587588 2.31600931802
59.009009009 2.06521921982
59.2592592593 2.19493616695
59.5095095095 2.33001056766
59.7597597598 2.37919101883
60.01001001 1.99577291069
60.2602602603 2.28839983695
60.5105105105 2.33658665023
60.7607607608 2.2669586186
61.011011011 2.16560452431
61.2612612613 2.3590242692
61.5115115115 2.17714368438
61.7617617618 2.29893972964
62.012012012 2.12173144984
62.2622622623 2.32850537035
62.5125125125 2.2550607782
62.7627627628 2.27499472291
63.013013013 2.32298479979
63.2632632633 2.33424085358
63.5135135135 2.3334633221
63.7637637638 2.40037338422
64.014014014 2.41506835883
64.2642642643 2.20245100417
64.5145145145 2.40545956166
64.7647647648 2.12101183579
65.015015015 2.34120598414
65.2652652653 2.31396808235
65.5155155155 2.28823171599
65.7657657658 2.18400633225
66.016016016 2.22456465341
66.2662662663 2.29275468446
66.5165165165 2.33050755149
66.7667667668 2.20886312094
67.017017017 2.27485960673
67.2672672673 2.37851627339
67.5175175175 2.28106549658
67.7677677678 2.26719046278
68.018018018 2.35105332152
68.2682682683 2.47804150258
68.5185185185 2.37710172406
68.7687687688 2.10797592103
